id,col1,col2,col3,col4,className,classId,cluster_label
63,,0.682,,,Iris-versicolor,2,2
64,,0.682,,,Iris-versicolor,2,2
65,,0.682,,,Iris-versicolor,2,2
66,,0.682,,,Iris-versicolor,2,2
67,,0.659,,,Iris-versicolor,2,2
68,,0.682,,,Iris-versicolor,2,2
69,,0.682,,,Iris-versicolor,2,2
70,,0.682,,,Iris-versicolor,2,2
71,,0.682,,,Iris-versicolor,2,2
72,,0.682,,,Iris-versicolor,2,2
73,,0.705,,,Iris-versicolor,2,0
74,,0.682,,,Iris-versicolor,2,2
75,,0.682,,,Iris-versicolor,2,2
76,,0.682,,,Iris-versicolor,2,2
77,,0.682,,,Iris-versicolor,2,2
78,,0.682,,,Iris-versicolor,2,2
79,,0.682,,,Iris-versicolor,2,2
80,,0.682,,,Iris-versicolor,2,2
81,,0.705,,,Iris-versicolor,2,0
82,,0.705,,,Iris-versicolor,2,0
83,,0.705,,,Iris-versicolor,2,0
84,,0.705,,,Iris-versicolor,2,0
85,,0.705,,,Iris-versicolor,2,0
86,,0.705,,,Iris-versicolor,2,0
87,,0.727,,,Iris-versicolor,2,1
88,,0.727,,,Iris-versicolor,2,1
89,,0.682,,,Iris-versicolor,2,2
90,,0.682,,,Iris-versicolor,2,2
91,,0.705,,,Iris-versicolor,2,0
92,,0.682,,,Iris-versicolor,2,2
93,,0.682,,,Iris-versicolor,2,2
94,,0.705,,,Iris-versicolor,2,0
95,,0.705,,,Iris-versicolor,2,0
96,,0.727,,,Iris-versicolor,2,1
97,,0.727,,,Iris-versicolor,2,1
98,,0.75,,,Iris-versicolor,2,1
99,,0.705,,,Iris-versicolor,2,0
100,,0.727,,,Iris-versicolor,2,1
101,,0.727,,,Iris-virginica,3,1
102,,0.773,,,Iris-virginica,3,1
103,,0.727,,,Iris-virginica,3,1
104,,0.727,,,Iris-virginica,3,1
105,,0.705,,,Iris-virginica,3,0
106,,0.727,,,Iris-virginica,3,1
107,,0.773,,,Iris-virginica,3,1
108,,0.773,,,Iris-virginica,3,1
109,,0.727,,,Iris-virginica,3,1
110,,0.727,,,Iris-virginica,3,1
111,,0.75,,,Iris-virginica,3,1
112,,0.773,,,Iris-virginica,3,1
113,,0.773,,,Iris-virginica,3,1
114,,0.773,,,Iris-virginica,3,1
115,,0.841,,,Iris-virginica,3,1
116,,0.886,,,Iris-virginica,3,1
117,,0.773,,,Iris-virginica,3,1
118,,0.841,,,Iris-virginica,3,1
119,,0.773,,,Iris-virginica,3,1
120,,0.864,,,Iris-virginica,3,1
121,,0.795,,,Iris-virginica,3,1
122,,0.864,,,Iris-virginica,3,1
123,,0.75,,,Iris-virginica,3,1
124,,0.75,,,Iris-virginica,3,1
125,,0.795,,,Iris-virginica,3,1
126,,0.727,,,Iris-virginica,3,1
127,,0.75,,,Iris-virginica,3,1
128,,0.795,,,Iris-virginica,3,1
129,,0.818,,,Iris-virginica,3,1
130,,0.886,,,Iris-virginica,3,1
131,,0.909,,,Iris-virginica,3,1
132,,0.795,,,Iris-virginica,3,1
133,,0.864,,,Iris-virginica,3,1
134,,0.932,,,Iris-virginica,3,1
135,,0.727,,,Iris-virginica,3,1
136,,0.75,,,Iris-virginica,3,1
137,,0.818,,,Iris-virginica,3,1
138,,0.795,,,Iris-virginica,3,1
139,,0.864,,,Iris-virginica,3,1
140,,0.773,,,Iris-virginica,3,1
141,,0.955,,,Iris-virginica,3,1
142,,0.773,,,Iris-virginica,3,1
143,,0.864,,,Iris-virginica,3,1
144,,1.0,,,Iris-virginica,3,0
145,,0.773,,,Iris-virginica,3,1
146,,0.773,,,Iris-virginica,3,1
147,,0.818,,,Iris-virginica,3,1
148,,0.795,,,Iris-virginica,3,1
149,,0.841,,,Iris-virginica,3,1
150,,0.864,,,Iris-virginica,3,1
