id,col1,col2,col3,col4,className,classId,cluster_label
62,0.81,,,,Iris-versicolor,2,1
63,0.633,,,,Iris-versicolor,2,2
64,0.747,,,,Iris-versicolor,2,1
65,0.759,,,,Iris-versicolor,2,1
66,0.759,,,,Iris-versicolor,2,1
67,0.823,,,,Iris-versicolor,2,1
68,0.772,,,,Iris-versicolor,2,1
69,0.785,,,,Iris-versicolor,2,1
70,0.646,,,,Iris-versicolor,2,2
71,0.797,,,,Iris-versicolor,2,1
72,0.797,,,,Iris-versicolor,2,1
73,0.57,,,,Iris-versicolor,2,2
74,0.81,,,,Iris-versicolor,2,1
75,0.81,,,,Iris-versicolor,2,1
76,0.709,,,,Iris-versicolor,2,1
77,0.81,,,,Iris-versicolor,2,1
78,0.861,,,,Iris-versicolor,2,1
79,0.873,,,,Iris-versicolor,2,1
80,0.848,,,,Iris-versicolor,2,1
81,0.62,,,,Iris-versicolor,2,2
82,0.633,,,,Iris-versicolor,2,2
83,0.747,,,,Iris-versicolor,2,1
84,0.772,,,,Iris-versicolor,2,1
85,0.772,,,,Iris-versicolor,2,1
86,0.975,,,,Iris-versicolor,2,1
87,0.582,,,,Iris-versicolor,2,2
88,0.848,,,,Iris-versicolor,2,1
89,0.848,,,,Iris-versicolor,2,1
90,0.886,,,,Iris-versicolor,2,1
91,0.81,,,,Iris-versicolor,2,1
92,0.722,,,,Iris-versicolor,2,1
93,0.924,,,,Iris-versicolor,2,1
94,0.557,,,,Iris-versicolor,2,2
95,0.848,,,,Iris-versicolor,2,1
96,0.595,,,,Iris-versicolor,2,2
97,0.911,,,,Iris-versicolor,2,1
98,0.62,,,,Iris-versicolor,2,2
99,0.557,,,,Iris-versicolor,2,2
100,0.633,,,,Iris-versicolor,2,2
101,0.899,,,,Iris-virginica,3,1
102,0.658,,,,Iris-virginica,3,2
103,0.911,,,,Iris-virginica,3,1
104,0.608,,,,Iris-virginica,3,2
105,0.873,,,,Iris-virginica,3,1
106,0.772,,,,Iris-virginica,3,1
107,0.633,,,,Iris-virginica,3,2
108,0.671,,,,Iris-virginica,3,2
109,0.608,,,,Iris-virginica,3,2
110,0.797,,,,Iris-virginica,3,1
111,0.684,,,,Iris-virginica,3,0
112,0.633,,,,Iris-virginica,3,2
113,0.646,,,,Iris-virginica,3,2
114,0.785,,,,Iris-virginica,3,1
115,0.633,,,,Iris-virginica,3,2
116,0.658,,,,Iris-virginica,3,2
117,0.911,,,,Iris-virginica,3,1
118,0.658,,,,Iris-virginica,3,2
119,0.646,,,,Iris-virginica,3,2
120,0.633,,,,Iris-virginica,3,2
121,0.62,,,,Iris-virginica,3,2
122,0.646,,,,Iris-virginica,3,2
123,0.785,,,,Iris-virginica,3,1
124,0.861,,,,Iris-virginica,3,1
125,0.633,,,,Iris-virginica,3,2
126,0.759,,,,Iris-virginica,3,1
127,0.975,,,,Iris-virginica,3,1
128,0.646,,,,Iris-virginica,3,2
129,0.62,,,,Iris-virginica,3,2
130,0.684,,,,Iris-virginica,3,0
131,0.582,,,,Iris-virginica,3,2
132,0.646,,,,Iris-virginica,3,2
133,0.646,,,,Iris-virginica,3,2
134,0.582,,,,Iris-virginica,3,2
135,0.81,,,,Iris-virginica,3,1
136,0.975,,,,Iris-virginica,3,1
137,1.0,,,,Iris-virginica,3,0
138,0.684,,,,Iris-virginica,3,0
139,0.684,,,,Iris-virginica,3,0
140,0.62,,,,Iris-virginica,3,2
141,0.62,,,,Iris-virginica,3,2
142,0.646,,,,Iris-virginica,3,2
143,0.848,,,,Iris-virginica,3,1
144,0.658,,,,Iris-virginica,3,2
145,0.633,,,,Iris-virginica,3,2
146,0.975,,,,Iris-virginica,3,1
147,0.582,,,,Iris-virginica,3,2
148,0.608,,,,Iris-virginica,3,2
149,0.633,,,,Iris-virginica,3,2
150,0.873,,,,Iris-virginica,3,1
