labels,dim2,dim6,dim7,dim8,Name3Class,Name3ClassX,Name3ClassY,cluster_label
r194,,0.383069543,,,ClassC,-0.381586342,-0.133886738,1
r195,,0.412146431,,,ClassC,-0.398208697,-0.109088121,1
r196,,0.426785767,,,ClassC,-0.382018922,-0.141480944,1
r197,,0.38112234,,,ClassC,-0.402963815,-0.155877109,1
r198,,0.376652853,,,ClassC,-0.405371767,-0.169489321,1
r199,,0.412005183,,,ClassC,-0.410895014,-0.107315146,1
r200,,0.411591529,,,ClassC,-0.387302529,-0.133886279,1
r201,,0.406476337,,,ClassC,-0.394931059,-0.141382755,1
r202,,0.364011166,,,ClassC,-0.392067642,-0.132408914,1
r203,,0.427300313,,,ClassC,-0.388159922,-0.13942473,1
r204,,0.408241936,,,ClassC,-0.379452263,-0.119276969,1
r205,,0.402703,,,ClassC,-0.408329191,-0.125333616,1
r206,,0.370952491,,,ClassC,-0.411872129,-0.167421493,1
r207,,0.389294539,,,ClassC,-0.394754902,-0.167614982,1
r208,,0.375462335,,,ClassC,-0.36855411,-0.135782489,1
r209,,0.378337738,,,ClassC,-0.38557584,-0.144159346,1
r210,,0.430084914,,,ClassC,-0.404127469,-0.149010475,1
r211,,0.425030257,,,ClassC,-0.363289968,-0.135293488,1
r212,,0.377591142,,,ClassC,-0.398205055,-0.13576456,1
r213,,0.396427558,,,ClassC,-0.376547297,-0.141380227,1
r214,,0.494534312,,,ClassC,-0.38031167,-0.094949867,1
r215,,0.402279257,,,ClassC,-0.38349469,-0.154672821,1
r216,,0.416545294,,,ClassC,-0.368794538,-0.152320219,1
r217,,0.452815736,,,ClassC,-0.403239981,-0.129396431,1
r218,,0.355052014,,,ClassC,-0.394783325,-0.194012052,1
r219,,0.403732092,,,ClassC,-0.380977667,-0.08770609,1
r220,,0.43001429,,,ClassC,-0.382885509,-0.134996474,1
r221,,0.381616707,,,ClassC,-0.387542394,-0.15687178,1
r222,,0.412035451,,,ClassC,-0.391851992,-0.094445851,1
r223,,0.382686156,,,ClassC,-0.39698131,-0.114179133,1
r224,,0.367027817,,,ClassC,-0.3844205,-0.149127792,1
r225,,0.393340283,,,ClassC,-0.382045246,-0.143497159,1
r226,,0.390797821,,,ClassC,-0.361421199,-0.139427285,1
r227,,0.435976969,,,ClassC,-0.390659748,-0.135634614,1
r228,,0.40072553,,,ClassC,-0.398071655,-0.152814005,1
r229,,0.396548628,,,ClassC,-0.407511456,-0.126119082,1
r230,,0.344428154,,,ClassC,-0.385213741,-0.169873055,1
r231,,0.449102935,,,ClassC,-0.388299414,-0.113568619,1
r232,,0.42056077,,,ClassC,-0.392679643,-0.138700006,1
r233,,0.423970898,,,ClassC,-0.387016492,-0.166001625,1
r234,,0.414537556,,,ClassC,-0.375949467,-0.127008493,1
r235,,0.354890587,,,ClassC,-0.38744883,-0.169716511,1
r236,,0.385955036,,,ClassC,-0.37955084,-0.140991881,1
r237,,0.451292277,,,ClassC,-0.39432673,-0.130337973,1
r238,,0.423405907,,,ClassC,-0.378359544,-0.157595257,1
r239,,0.437117042,,,ClassC,-0.386167447,-0.073417566,1
r240,,0.404821719,,,ClassC,-0.389049295,-0.163993023,1
r241,,0.401875691,,,ClassC,-0.407294661,-0.15416326,1
r242,,0.465154749,,,ClassC,-0.395086587,-0.115541098,1
r243,,0.404862075,,,ClassC,-0.391542109,-0.120590422,1
r244,,0.369237338,,,ClassC,-0.377832089,-0.168722129,1
r245,,0.407808103,,,ClassC,-0.410483897,-0.104568314,1
r246,,0.438176401,,,ClassC,-0.375197674,-0.120134627,1
r247,,0.429953755,,,ClassC,-0.419553602,-0.129375636,1
r248,,0.413589178,,,ClassC,-0.402128372,-0.140841545,1
r249,,0.357170732,,,ClassC,-0.402386867,-0.149742046,1
r250,,0.389587124,,,ClassC,-0.400146562,-0.158038791,1
r251,,0.406062683,,,ClassC,-0.37641462,-0.139223561,1
r252,,0.400271519,,,ClassC,-0.401981766,-0.128378021,1
r253,,0.372808892,,,ClassC,-0.398018491,-0.153964657,1
r254,,0.403005675,,,ClassC,-0.384039967,-0.109641704,1
r255,,0.374312173,,,ClassC,-0.380648399,-0.164743361,1
r256,,0.406435981,,,ClassC,-0.391076124,-0.177506806,1
r257,,0.403247814,,,ClassC,-0.408013576,-0.136037932,1
r258,,0.368581544,,,ClassC,-0.380088485,-0.193519009,1
r259,,0.352882849,,,ClassC,-0.396927516,-0.137701542,1
r260,,0.393088054,,,ClassC,-0.395927514,-0.124919251,1
r261,,0.318186312,,,ClassC,-0.409590381,-0.162238578,0
r262,,0.415960125,,,ClassC,-0.405761235,-0.112524303,1
r263,,0.416535205,,,ClassC,-0.382520963,-0.123037096,1
r264,,0.326156729,,,ClassC,-0.386485406,-0.170981742,0
r265,,0.420641483,,,ClassC,-0.408274775,-0.095709147,1
r266,,0.440506991,,,ClassC,-0.391380526,-0.122323146,1
r267,,0.41566754,,,ClassC,-0.381540342,-0.159242546,1
r268,,0.354416398,,,ClassC,-0.40635066,-0.175249296,1
r269,,0.40760632,,,ClassC,-0.411317177,-0.151513152,1
r270,,0.409977267,,,ClassC,-0.384386239,-0.107568186,1
r271,,0.398848951,,,ClassC,-0.39155399,-0.150459901,1
r272,,0.399262605,,,ClassC,-0.39400679,-0.123246378,1
r273,,0.369489566,,,ClassC,-0.395421739,-0.138243366,1
r274,,0.469684771,,,ClassC,-0.38751654,-0.100337847,1
r275,,0.336356845,,,ClassC,-0.408255251,-0.178644408,0
r276,,0.384532467,,,ClassC,-0.386750272,-0.157120767,1
r277,,0.360126849,,,ClassC,-0.380362357,-0.17515204,1
r278,,0.316662853,,,ClassC,-0.404277295,-0.18175452,0
r279,,0.441556261,,,ClassC,-0.377641115,-0.108370057,1
r280,,0.379810752,,,ClassC,-0.393440762,-0.141079039,1
r281,,0.412903116,,,ClassC,-0.392542786,-0.113178679,1
r282,,0.414164258,,,ClassC,-0.372247858,-0.163476973,1
r283,,0.367673522,,,ClassC,-0.391990849,-0.158711983,1
r284,,0.356020571,,,ClassC,-0.408863364,-0.173228098,1
r285,,0.401815157,,,ClassC,-0.386983291,-0.135017681,1
r286,,0.429963845,,,ClassC,-0.404314144,-0.113843376,1
r287,,0.408948175,,,ClassC,-0.40139928,-0.138545763,1
r288,,0.373081299,,,ClassC,-0.396595926,-0.125953196,1
r289,,0.424273572,,,ClassC,-0.378717922,-0.173503495,1
r290,,0.311729266,,,ClassC,-0.394440969,-0.170443484,2
r291,,0.502696422,,,ClassC,-0.383268608,-0.055378183,1
r292,,0.799982889,,,ClassB,-0.3884585,0.481271046,0
r293,,0.79425226,,,ClassB,-0.381606421,0.466442557,0
r294,,0.799559145,,,ClassB,-0.345178989,0.473627249,0
r295,,0.802616153,,,ClassB,-0.379086823,0.479155487,0
r296,,0.796956148,,,ClassB,-0.343973143,0.466070619,0
r297,,0.807166353,,,ClassB,-0.361465272,0.476039664,0
r298,,0.811948604,,,ClassB,-0.365701193,0.473453522,0
r299,,0.804997189,,,ClassB,-0.361153572,0.471760837,0
r300,,0.809527211,,,ClassB,-0.37803188,0.466840413,0
r301,,0.791265876,,,ClassB,-0.367076591,0.470250458,0
r302,,0.795816076,,,ClassB,-0.377334133,0.451187814,0
r303,,0.804482643,,,ClassB,-0.368021485,0.476740444,0
r304,,0.782609398,,,ClassB,-0.362796123,0.461553921,0
r305,,0.780218272,,,ClassB,-0.404490231,0.469840274,0
r306,,0.80299954,,,ClassB,-0.363482042,0.461017359,0
r307,,0.800961535,,,ClassB,-0.383740515,0.469653534,0
r308,,0.798943708,,,ClassB,-0.38872549,0.470131659,0
r309,,0.779844974,,,ClassB,-0.351061689,0.464828359,0
r310,,0.799871908,,,ClassB,-0.364992252,0.471826043,0
r311,,0.811353345,,,ClassB,-0.372519703,0.478344246,0
r312,,0.804321217,,,ClassB,-0.375961756,0.473234829,0
r313,,0.802848203,,,ClassB,-0.353365766,0.47019433,0
r314,,0.796421424,,,ClassB,-0.37181197,0.467966723,0
r315,,0.788824305,,,ClassB,-0.379057911,0.465082761,0
r316,,0.811010314,,,ClassB,-0.368891447,0.470805533,0
r317,,0.806944392,,,ClassB,-0.382375384,0.471460026,0
r318,,0.795957324,,,ClassB,-0.375467772,0.46597599,0
r319,,0.808477941,,,ClassB,-0.362387489,0.470509206,0
r320,,0.809406141,,,ClassB,-0.36462961,0.475853124,0
r321,,0.797571585,,,ClassB,-0.373355426,0.466300356,0
r322,,0.795906878,,,ClassB,-0.361613869,0.462777185,0
r323,,0.807973484,,,ClassB,-0.371267349,0.466832766,0
r324,,0.807458938,,,ClassB,-0.384596945,0.485068921,0
r325,,0.801869557,,,ClassB,-0.36812249,0.481696411,0
r326,,0.799115223,,,ClassB,-0.379462279,0.459664186,0
r327,,0.806651807,,,ClassB,-0.373410324,0.463936732,0
r328,,0.810172916,,,ClassB,-0.364926024,0.470934972,0
r329,,0.792789335,,,ClassB,-0.383186834,0.465179424,0
r330,,0.805461289,,,ClassB,-0.379343634,0.483286031,0
r331,,0.790256962,,,ClassB,-0.361379619,0.470160137,0
r332,,0.810273807,,,ClassB,-0.360292322,0.482353527,0
r333,,0.79541251,,,ClassB,-0.381832991,0.468182071,0
r334,,0.81829467,,,ClassB,-0.365958806,0.481056077,0
r335,,0.783134033,,,ClassB,-0.371262877,0.454186214,0
r336,,0.824065655,,,ClassB,-0.369743126,0.476683429,0
r337,,0.804946743,,,ClassB,-0.348374786,0.473795873,0
r338,,0.788259313,,,ClassB,-0.385612383,0.463703045,0
r339,,0.795775719,,,ClassB,-0.37372792,0.466515144,0
r340,,0.789399386,,,ClassB,-0.348650682,0.463300864,0
r341,,0.808346782,,,ClassB,-0.36065689,0.474158564,0
r342,,0.804381752,,,ClassB,-0.347464705,0.464163669,0
r343,,0.804280861,,,ClassB,-0.37294435,0.482665962,0
r344,,0.80079002,,,ClassB,-0.353967019,0.47107972,0
r345,,0.791195252,,,ClassB,-0.354787622,0.460935973,0
r346,,0.78947001,,,ClassB,-0.377266258,0.461737361,0
r347,,0.779501944,,,ClassB,-0.353490896,0.471497893,0
r348,,0.807156264,,,ClassB,-0.383484785,0.477756952,0
r349,,0.79880246,,,ClassB,-0.372100104,0.475378095,0
r350,,0.818859661,,,ClassB,-0.374842247,0.472611394,0
r351,,0.793213079,,,ClassB,-0.368792978,0.46903568,0
r352,,0.803251769,,,ClassB,-0.368977074,0.479946341,0
r353,,0.799347273,,,ClassB,-0.3693618,0.457609906,0
r354,,0.80965837,,,ClassB,-0.356564352,0.476507852,0
r355,,0.800446989,,,ClassB,-0.367462416,0.473470282,0
r356,,0.804159791,,,ClassB,-0.34080763,0.478693064,0
r357,,0.804785317,,,ClassB,-0.369799514,0.481397898,0
r358,,0.807378225,,,ClassB,-0.34862725,0.467860569,0
r359,,0.793616644,,,ClassB,-0.378219401,0.476631128,0
r360,,0.802041072,,,ClassB,-0.366602911,0.480317319,0
r361,,0.793969764,,,ClassB,-0.357335327,0.458970577,0
r362,,0.785777386,,,ClassB,-0.385564564,0.463948124,0
r363,,0.80930525,,,ClassB,-0.352469141,0.465302308,0
r364,,0.806843501,,,ClassB,-0.390700836,0.480657871,0
r365,,0.800184672,,,ClassB,-0.364032854,0.463509299,0
r552,,0.184263128,,,ClassA,0.377699236,-0.269493793,2
r597,,0.001298976,,,ClassA,0.371407667,-0.268932387,0
r480,,0.191113651,,,ClassA,0.306833285,-0.267919744,2
r559,,0.205379688,,,ClassA,0.430478399,-0.265369051,2
r562,,0.163630846,,,ClassA,0.463950276,-0.260875834,2
r484,,0.197863283,,,ClassA,0.44060227,-0.259742042,2
r472,,0.189741528,,,ClassA,0.421941511,-0.259468877,2
r553,,0.198226491,,,ClassA,0.42406779,-0.25890872,2
r500,,0.184454821,,,ClassA,0.368140237,-0.258902744,2
r591,,0.190710085,,,ClassA,0.368816542,-0.258576373,2
r507,,0.196672765,,,ClassA,0.429504968,-0.257444947,2
r543,,0.23103636,,,ClassA,0.423193421,-0.255335247,2
r492,,0.210424256,,,ClassA,0.39339531,-0.25422964,2
r526,,0.180439346,,,ClassA,0.365119215,-0.252091223,2
r512,,0.218848684,,,ClassA,0.384614836,-0.251439912,2
r558,,0.204370775,,,ClassA,0.425314793,-0.250455869,2
r549,,0.207599298,,,ClassA,0.354042292,-0.249612524,2
r573,,0.216023726,,,ClassA,0.470015048,-0.248732466,2
r501,,0.193605667,,,ClassA,0.383737763,-0.247452083,2
r463,,0.190377144,,,ClassA,0.361166199,-0.247115892,2
r488,,0.204754162,,,ClassA,0.380089435,-0.24643649,2
r548,,0.223883163,,,ClassA,0.355423622,-0.245792088,2
r589,,0.193656113,,,ClassA,0.400642432,-0.245286825,2
r561,,0.193081032,,,ClassA,0.403698617,-0.245124,2
r505,,0.185312398,,,ClassA,0.381104596,-0.24492618,2
r647,,0.293064365,,,ClassA,0.361881063,-0.24373812,2
r563,,0.213935275,,,ClassA,0.398083475,-0.243046513,2
r565,,0.217537097,,,ClassA,0.429731659,-0.242782999,2
r461,,0.24025783,,,ClassA,0.443638629,-0.242735065,2
r746,,0.174042834,,,ClassA,0.364307077,-0.242030255,2
r468,,0.19789355,,,ClassA,0.380852651,-0.240871641,2
r566,,0.202534552,,,ClassA,0.390916678,-0.240694488,2
r518,,0.216306222,,,ClassA,0.341061976,-0.240616249,2
r467,,0.201414658,,,ClassA,0.462949889,-0.239900522,2
r576,,0.22461967,,,ClassA,0.450433253,-0.239250138,2
r520,,0.204512023,,,ClassA,0.401766156,-0.238698381,2
r483,,0.229966912,,,ClassA,0.470229692,-0.238097437,2
r705,,0.019889923,,,ClassA,0.334916426,-0.237902413,2
r486,,0.191103562,,,ClassA,0.301597801,-0.237209816,2
r525,,0.212633777,,,ClassA,0.413615996,-0.237010263,2
r449,,0.201838402,,,ClassA,0.383326212,-0.236694533,2
r508,,0.24830896,,,ClassA,0.395737541,-0.236597,2
r574,,0.224367441,,,ClassA,0.443175409,-0.236465243,2
r513,,0.2240345,,,ClassA,0.399304456,-0.236380777,2
r517,,0.203281148,,,ClassA,0.449770187,-0.236226672,2
r458,,0.227202489,,,ClassA,0.395584287,-0.23596198,2
r499,,0.204037833,,,ClassA,0.413798858,-0.235804895,2
r554,,0.180963981,,,ClassA,0.346126507,-0.235400791,2
r529,,0.183839384,,,ClassA,0.362356764,-0.235149258,2
r452,,0.214883654,,,ClassA,0.371833617,-0.234741755,2
r550,,0.214015988,,,ClassA,0.422184567,-0.234697059,2
r502,,0.231984739,,,ClassA,0.406682931,-0.233705156,2
r522,,0.184475,,,ClassA,0.39579697,-0.233503409,2
r485,,0.220483124,,,ClassA,0.389521683,-0.232882574,2
r582,,0.190942136,,,ClassA,0.385183754,-0.232770516,2
r516,,0.189751618,,,ClassA,0.340072213,-0.232587107,2
r457,,0.227384093,,,ClassA,0.367549436,-0.23233181,2
r581,,0.221804801,,,ClassA,0.476160773,-0.232312379,2
r583,,0.228544344,,,ClassA,0.428676774,-0.231771212,2
r482,,0.247522007,,,ClassA,0.423798064,-0.23126229,2
r571,,0.237079752,,,ClassA,0.449059819,-0.231081767,2
r547,,0.252939873,,,ClassA,0.415892127,-0.230574598,2
r556,,0.227949085,,,ClassA,0.402898328,-0.230526472,2
r570,,0.208991599,,,ClassA,0.356429163,-0.23022304,2
r514,,0.221794712,,,ClassA,0.397409338,-0.230170752,2
r720,,0.236615652,,,ClassA,0.428653189,-0.230038143,2
r497,,0.218606545,,,ClassA,0.385314814,-0.22955423,2
r545,,0.198983177,,,ClassA,0.339113647,-0.229357642,2
r568,,0.238492231,,,ClassA,0.421294772,-0.229259779,2
r450,,0.246967105,,,ClassA,0.456078369,-0.229090134,2
r503,,0.261172608,,,ClassA,0.493985546,-0.22901293,2
r466,,0.230198962,,,ClassA,0.383089389,-0.228817551,2
r541,,0.223530043,,,ClassA,0.346613111,-0.228664245,2
r494,,0.205652095,,,ClassA,0.418875975,-0.22778239,2
r544,,0.220684907,,,ClassA,0.388082103,-0.226596732,2
r530,,0.229533079,,,ClassA,0.439130304,-0.226503545,2
r585,,0.228342561,,,ClassA,0.401995452,-0.226362151,2
r469,,0.232115898,,,ClassA,0.409603806,-0.226281717,2
r575,,0.221280166,,,ClassA,0.326430421,-0.22606762,2
r594,,0.237523674,,,ClassA,0.484918035,-0.225709643,2
r587,,0.210081226,,,ClassA,0.393363332,-0.225396699,2
r462,,0.232701067,,,ClassA,0.40925627,-0.2250377,2
r464,,0.207720368,,,ClassA,0.335406482,-0.224897302,2
r524,,0.209223649,,,ClassA,0.432022926,-0.224691194,2
r528,,0.228957998,,,ClassA,0.346098049,-0.22467961,2
r584,,0.22391343,,,ClassA,0.439918991,-0.224500153,2
r536,,0.2317426,,,ClassA,0.404962407,-0.224426631,2
r489,,0.208174379,,,ClassA,0.324537988,-0.224378423,2
r479,,0.210232563,,,ClassA,0.373384689,-0.224309096,2
r474,,0.228826839,,,ClassA,0.380441177,-0.224262812,2
r506,,0.214853387,,,ClassA,0.421875409,-0.224137628,2
r540,,0.216084261,,,ClassA,0.406964294,-0.223854046,2
r459,,0.207195733,,,ClassA,0.353044762,-0.223740129,2
r579,,0.213319838,,,ClassA,0.347180758,-0.223674699,2
r471,,0.245695874,,,ClassA,0.379682326,-0.223517817,2
r580,,0.2535654,,,ClassA,0.412762207,-0.223086007,2
r546,,0.201818224,,,ClassA,0.34587598,-0.22290458,2
r557,,0.24982233,,,ClassA,0.348194219,-0.222630613,2
r454,,0.195421712,,,ClassA,0.444489163,-0.222102325,2
r478,,0.222611932,,,ClassA,0.40879072,-0.221894342,2
r523,,0.232529552,,,ClassA,0.339093785,-0.221880047,2
r481,,0.230955647,,,ClassA,0.338643995,-0.221248193,2
r453,,0.227152043,,,ClassA,0.420554486,-0.220757669,2
r521,,0.271433259,,,ClassA,0.37548325,-0.220292482,2
r586,,0.202433661,,,ClassA,0.417077555,-0.218701258,2
r447,,0.237079752,,,ClassA,0.355975745,-0.218304608,2
r527,,0.235253619,,,ClassA,0.414393344,-0.218238978,2
r487,,0.239359897,,,ClassA,0.435296055,-0.218229172,2
r535,,0.244091701,,,ClassA,0.413107622,-0.218050014,2
r560,,0.224952611,,,ClassA,0.366643485,-0.215077748,2
r470,,0.268598211,,,ClassA,0.3443932,-0.214990925,2
r592,,0.240590771,,,ClassA,0.420566601,-0.214288431,2
r456,,0.226062416,,,ClassA,0.315322244,-0.214148513,2
r539,,0.227626232,,,ClassA,0.366048937,-0.214086781,2
r532,,0.234385953,,,ClassA,0.406025685,-0.213486187,2
r542,,0.234668449,,,ClassA,0.413820302,-0.2128444,2
r448,,0.240762287,,,ClassA,0.386253404,-0.212130856,2
r460,,0.259306118,,,ClassA,0.350531555,-0.211599969,2
r564,,0.218364406,,,ClassA,0.350529417,-0.211584134,2
r577,,0.239188382,,,ClassA,0.430777322,-0.211370987,2
r511,,0.216629075,,,ClassA,0.452138252,-0.21034588,2
r590,,0.265309153,,,ClassA,0.368339217,-0.210241808,2
r551,,0.24235637,,,ClassA,0.421276792,-0.210146709,2
r555,,0.248369495,,,ClassA,0.382086105,-0.209320494,2
r569,,0.252990319,,,ClassA,0.386342944,-0.208646743,2
r496,,0.244676871,,,ClassA,0.363272685,-0.208589299,2
r491,,0.261717421,,,ClassA,0.400395506,-0.208446903,2
r595,,0.246936838,,,ClassA,0.381604501,-0.207467604,2
r476,,0.240843,,,ClassA,0.40804701,-0.206693124,2
r531,,0.27666952,,,ClassA,0.419184169,-0.205136598,2
r572,,0.274540712,,,ClassA,0.463226413,-0.205127991,2
r578,,0.229966912,,,ClassA,0.414222156,-0.204979792,2
r455,,0.237614476,,,ClassA,0.3459679,-0.204085954,2
r519,,0.259235494,,,ClassA,0.35081012,-0.203049792,2
r473,,0.233225702,,,ClassA,0.387684598,-0.202950339,2
r533,,0.240832911,,,ClassA,0.40983799,-0.202397766,2
r510,,0.239965245,,,ClassA,0.40035427,-0.201898915,2
r588,,0.259548257,,,ClassA,0.384045946,-0.201858637,2
r495,,0.238189557,,,ClassA,0.386731711,-0.201084799,2
